original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
riboﬂavin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (source of vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (source of vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (source of vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (source of vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (source of vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboﬂavin supplement (source of vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (vitamin b-2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (vitamin b-2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (vitamin v-2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement (vitaminb2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement source of vitamin b2|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement(vitamin b2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavinsupplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavinsupplement(sourceofvitaminb2)|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
rice|rice|rice products|grains|rice|grains|rice
rice 1%|rice|rice products|grains|rice|grains|rice
rice 6%|rice|rice products|grains|rice|grains|rice
rice bran|rice bran|rice products|grains|rice|grains|rice
rice bran (solvent extracted)|rice bran|rice products|grains|rice|grains|rice
rice bran (stabilized)|rice bran|rice products|grains|rice|grains|rice
rice bran oil|rice bran oil|rice products|fats and oils|rice bran oil|fats and oils|rice bran oil
rice flour|rice flour|rice products|grains|rice|grains|rice
rice hulls|rice hull|rice products|grains|rice|grains|rice
rice noodle|rice noodle|rice products|grains|rice|grains|rice
rice pasta|rice pasta|rice products|grains|rice|grains|rice
rice protein concentrate|rice protein concentrate|rice products|grains|rice|grains|rice
rice starch|rice starch|rice products|grains|rice|grains|rice
roasted bison|roasted bison|animal products|animal products|bison|animal products|bison
roasted duck|roasted duck|animal products|animal products|duck|animal products|duck
roasted lamb|roasted lamb|animal products|animal products|lamb|animal products|lamb
roasted quail|roasted quail|animal products|animal products|quail|animal products|quail
roasted venison|roasted venison|animal products|animal products|venison|animal products|venison
roboflavin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
rock salt|rock salt|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
rolled oats|rolled oats|oat products|grains|oats|grains|oats
romaine lettuce|romaine lettuce|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
rose hips|rosehips|unknown|fruits and vegetables|fruits|fruits and vegetables|fruits
rosehips|rosehips|unknown|fruits and vegetables|fruits|fruits and vegetables|fruits
rosemary|rosemary|unknown|preservatives|natural preservatives|preservatives|natural preservatives
rosemary extract|rosemary extract|unknown|preservatives|natural preservatives|preservatives|natural preservatives
rosemary extract.|rosemary extract|unknown|preservatives|natural preservatives|preservatives|natural preservatives
rosemary powder|rosemary powder|unknown|preservatives|natural preservatives|preservatives|natural preservatives
rotisserie chicken flavor|rotisserie chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
ructooligosaccharide|fructooligosaccharide|miscellaneous products|additives|artificial additives|additives|artificial additives
russet burbank potatoes|russet burbank potatoes|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
russet potatoes|russet potato|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
rye|rye|rye products|grains|rye|grains|rye
rye flour|rye flour|rye products|grains|rye|grains|rye
saba|saba|marine products|marine products|fish|marine products|fish
saccharomyces cerevesiae fermentation soluble|saccharomyces cerevisiae fermentation soluble|fermentation products|fermentation products|yeast|fermentation products|yeast
saccharomyces cerevesiae fermentation solubles|saccharomyces cerevisiae fermentation soluble|fermentation products|fermentation products|yeast|fermentation products|yeast
saccharomyces cerevisae yeast cluture|saccharomyces cerevisae yeast cluture|yeast|fermentation products|yeast|fermentation products|yeast
saccharomyces cerevisiae fermentation solubles|saccharomyces cerevisiae fermentation soluble|fermentation products|fermentation products|yeast|fermentation products|yeast
saccharomyces cerevisiae yeast culture|saccharomyces cerevisiae yeast culture|yeast|fermentation products|yeast|fermentation products|yeast
safflower oil|safflower oil|fats and oils|fats and oils|safflower oil|fats and oils|safflower oil
safflower oil (preserved with mixed tocopherols)|safflower oil|fats and oils|fats and oils|safflower oil|fats and oils|safflower oil
sage|sage|unknown|herbs & spices|spices|herbs & spices|spices
sage extract|sage extract|unknown|herbs & spices|spices|herbs & spices|spices
salmon|salmon|marine products|marine products|fish|marine products|fish
salmon (source of dha)|salmon|marine products|marine products|fish|marine products|fish
salmon (source of glucosamine)|salmon|marine products|marine products|fish|marine products|fish
salmon (source of omega 3)|salmon|marine products|marine products|fish|marine products|fish
salmon (source of omega-3)|salmon|marine products|marine products|fish|marine products|fish
salmon broth|salmon broth|marine products|marine products|fish|marine products|fish
salmon hydrolysate|salmon hydrolysate|marine products|marine products|fish|marine products|fish
salmon hydrolysate|salmon hydrolysate|marine products|marine products|fish|marine products|fish
salmon meal|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (natural source of glucosamine and chondroitin)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of chondroitin sulfate)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of chondroitinsulfate)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of dha)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of glucosamine)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of omega 3)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of omega-3 fatty acids)|salmon meal|marine products|marine products|fish|marine products|fish
salmon meal (source of omega-3)|salmon meal|marine products|marine products|fish|marine products|fish
salmon oil|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (a source of dha)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with miced tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with mixed tocopherols source of vitamin e)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with mixed tocopherols) (source of dha)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preserved with natural mixed tocopherols a source of vitamin e)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (preservedwith mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (presevered with mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of dha & epa)|salmon oil|marine products|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of dha)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of dha)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of dha-docosahexaenoic acid and epa-eicosapentaenoic acid)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of dha-docosahexaenoic acid)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of omega 3 fatty acids)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil (source of omega 3)|salmon oil|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil preserved with mixed tocopherols|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil(preserved with mixed tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon oil(preserved with tocopherols)|salmon oil (preserved with mixed tocopherols)|marine products/vitamins|fats and oils|fish oil|fats and oils|fish oil
salmon skin|salmon skin|marine products|marine products|fish|marine products|fish
salmon with ground bone|salmon (with ground bone)|marine products|marine products|fish|marine products|fish
salt|salt|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
salt|salt|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sardine|sardine|marine products|marine products|fish|marine products|fish
sardine (source of omega 3)|sardine|marine products|marine products|fish|marine products|fish
sardine broth|sardine broth|marine products|marine products|fish|marine products|fish
sardine consommé|sardine consommé|marine products|marine products|fish|marine products|fish
